Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Ticker
2006-08-29,4.13,4.13,4.13,4.13,WIBOR_1M
2006-08-29,3.62,3.62,3.62,3.62,WIBID_ON
2006-08-28,4.06,4.06,4.06,4.06,WIBOR_ON
2006-08-28,4.3,4.3,4.3,4.3,WIBOR_6M
2006-08-28,4.21,4.21,4.21,4.21,WIBOR_3M
2006-08-28,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-28,3.8,3.8,3.8,3.8,WIBID_ON
2006-08-25,4.1,4.1,4.1,4.1,WIBOR_ON
2006-08-25,4.29,4.29,4.29,4.29,WIBOR_6M
2006-08-25,4.2,4.2,4.2,4.2,WIBOR_3M
2006-08-25,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-25,3.92,3.92,3.92,3.92,WIBID_ON
2006-08-24,4.07,4.07,4.07,4.07,WIBOR_ON
2006-08-24,4.29,4.29,4.29,4.29,WIBOR_6M
2006-08-24,4.2,4.2,4.2,4.2,WIBOR_3M
2006-08-24,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-24,3.89,3.89,3.89,3.89,WIBID_ON
2006-08-23,4.09,4.09,4.09,4.09,WIBOR_ON
2006-08-23,4.29,4.29,4.29,4.29,WIBOR_6M
2006-08-23,4.2,4.2,4.2,4.2,WIBOR_3M
2006-08-23,4.13,4.13,4.13,4.13,WIBOR_1M
2006-08-23,3.91,3.91,3.91,3.91,WIBID_ON
2006-08-22,4.07,4.07,4.07,4.07,WIBOR_ON
2006-08-22,4.29,4.29,4.29,4.29,WIBOR_6M
2006-08-22,4.2,4.2,4.2,4.2,WIBOR_3M
2006-08-22,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-22,3.89,3.89,3.89,3.89,WIBID_ON
2006-08-21,4.1,4.1,4.1,4.1,WIBOR_ON
2006-08-21,4.27,4.27,4.27,4.27,WIBOR_6M
2006-08-21,4.2,4.2,4.2,4.2,WIBOR_3M
2006-08-21,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-21,3.92,3.92,3.92,3.92,WIBID_ON
2006-08-18,4.1,4.1,4.1,4.1,WIBOR_ON
2006-08-18,4.26,4.26,4.26,4.26,WIBOR_6M
